document	label
9인실은 가격이 어떻게 되나요?	1
휴일은 언제인가요?	1
한 달에 얼마예요?	1
네 합니다	0
네 착용 가능하세요	0
네 모두 3만원 되겠습니다	0
작은방은요?	1
할인 안 되나요?	1
네 가져다드리겠습니다	0
지금 주문 가능한가요? 	1
어떤 과일 잘나가요?	1
6명 같이 앉을 수 있을까요?	1
2500원 결제 도와드리겠습니다	0
아뇨 이건 돈까스 안들어가있어요	0
이거는 칠부인가요?	1
사과 한 박스에 얼마에요?	1
총 15500원입니다.	0
헤나 염색 원하시면 해드리는데, 요즘 뉴스에도 나오고 그래서 안 하고 있습니다	0
스피킹은 입시에는 없어서 안 하고 작문은 내신 시험 준비할 때 합니다	0
먼저 수선되는거 부터 가져가도 되죠?	1
네, 개발 끝나면 그 정도 오를거예요	0
쉬는 날 있어요?	1
네 콘드로이틴이랑 같이 된 건 지금 없어요	0
얼그레이는 홍차입니다	0
디자인은 마음에 드는데 조금 작은 것 같아요	1
이건 어떻게 먹어야 해요?	1
지금 피시방 가려는데 빈자리 있어요?	1
둘 다 쓰는게 좋아요	0
가게와서 갖고 가시면 22000원요	0
네 감사합니다	0
모피 같은 거는 드라이 얼마라예	1
할인은 언제까지예요?	1
이거 등급에 따라서 할인율 다르죠?	1
여기 오픈한 지가 얼마 안 됐어요?	1
방학 때 특강하시죠?	1
신어보세요	0
여기 있는 묶음 빵은 얼마인가요?	1
뿌염도 할 수 있을까요?	1
음식 주문은 자리에서 이렇게 하면 되나요?	1
귤은 가격이 조금 올랐고, 딸기는 가격이 비슷해요.	0
정확한 가격 책정을 위해서는 한 번 봐야 할 것 같습니다	0
아 그러면 일반 인공눈물에는 방부제가 들어간 게 있나 봐요?	1
오늘 새벽에 갖고 온 싱싱한 딸기예요 	0
건강기능식품이랑 자연화장품도 같이 취급하고 있어요	0
이불이 가장자리가 조금 헤졌는데 세탁해도 괜찮아요?	1
투룸이나 원룸도 큰 거 있어요?	1
직접 전화하는 게 가격이 더 낫겠네요?	1
주택에 수리 좀 한거 월세가 있나요?	1
개별 그거에다가 두 개씩은 포장이 안 되나요?	1
사장님 혹시 곱창 이런 거는 있어요?	1
아니에요 막 신는 거예요	0
의상 매치를 청바지로 하실 경우에는 아이보리가 낫고요	0
저희 PC방은 24시간 운영합니다	0
로퍼 좀 보려고 왔는데요	1
다 비슷해요	0
홈 케어는 어떻게 하면 돼요?	1
좀 잘 나가는 거 보여주세요	1
크로스백 좀 보려고 하는데요	1
가게 안내 책자 같은 거 있어요?	1
진한 그레이색인데요 요즘은 이 톤이 대세에요	0
계약 수수료는 있나요?	1
직접 착용해보시면 더 예쁘답니다	0
조끼도 사이즈가 있나요?	1
이거 물빨래 해도 되나요?	1
그 옷을 현금으로 구입하시면 이천원 할인 해드려요	0
18K로 하고 흰색 다이아가 더 비싸서 그래요	0
꽃등심 한 근, 결제 도와드릴게요	0
네 4000원입니다	0
옥 같은거예요	0
큰 거는 몇 인친데 그럼?	1
요 가방은 얼마씩 해요?	1
혹시 종이컵 있습니까?	1
1박에 8만 원이에요	0
안에 있어요	0
혹시 세트메뉴는 없나요?	1
저 캠퍼스 사려고 하는데 블랙 사이즈 남아있나요?	1
네, 할인은 안 돼요	0
앱으로 주문하면 할인도 되나요?	1
네 20만 원입니다	0
10만 원이에요	0
현금 영수증 못 받았는데, 발급 좀 해주실래요?	1
이불도 세탁되나요?	1
네 엄마들은 이런 거 좋아하세요	0
네, 결제해드릴게요	0
피부가 예민한데 염색약이 어떤건가요?	1
병원에서 처방 받는 약은 합성 호르몬제에요	0
진한 거는 얇은 거밖에 없어요	0
지금 그 신발은 바로 사면 십만원이고 맞추면은 십칠만원이에요	0
여기 있는 제품들이 거의 대부분 신상이에요	0
벽에 붙어있어요	0
수선 가격이 한 얼마쯤?	1
서른두 평은 지금 삼 단지, 사 단지, 이 단지, 팔 단지 있어요	0
포인트 적립되셨고 카드 결제도 완료했습니다	0
떡집 문은 몇시부터 여세요?	1
네, 확인해드릴게요	0
가정에서는 얼마나 냉장보관이 가능해요?	1
카드 주문은 여기서 안 되나요?	1
미리 주문 하려면 언제 연락드리면 될까요?	1
제가 피부가 민감한데 괜찮겠죠?	1
추어탕을 직접 끓이시는 거죠?	1
상가 임대하려는데 금액 조정이 좀 가능할까요?	1
요 파이도 천연 발효 들어간 거예요?	1
아이 데리고 요 시간쯤에 오면 되죠?	1
미리 이야기 해주시면 제일 좋아요. 고기도 준비하고 박스도 준비를 해야하니까요	0
5억8천만 원입니다	0
제가 열어 드릴게요	0
보증금 얼마에 얼마로 들어가는지요?	1
네, 편하게 쓰세요	0
카드지갑에 박음질 해주실 수 있나요?	1
실버 제품이라 가격은 20000원입니다	0
여기 4층은 스터디카페인가요?	1
네 지방은 덜어서 드릴게요	0
운동화 끈 하나 더 주시나요?	1
소다는 지금 몇 % 해요?	1
네	0
예 비회원도 이용할 수 있습니다	0
그러면 1500원을 추가 결제해주시면 됩니다	0
화장실 비밀번호가 뭐죠?	1
원피스가 하의가 조금 얼룩이 묻었는데 잘라내고 다른 걸로 붙일 수도 있나요?	1
새로 나온 메뉴 없어요?	1
니트류는 드라이가 나아요	0
네 그렇죠	0
거울 좀 볼 수 있을까요?	1
네 후라이드는 안 합니다	0
예 프린트 할 수 있습니다	0
산청 곶감은 물량 자체가 별로 없어서 못보신 것 같네요.	0
헤드셋 있나요?	1
지금 만들고 있는 중입니다	0
네 검정색뿐입니다. 	0
오버핏으로 나와 맞게 입으셔도 괜찮으실 겁니다	0
종류는 어떤 게 있나요 치킨이?	1
저희 펜션은 동쪽 바다 바로 앞에 있어요	0
온돌방이에요	0
여기 적립되나요?	1
가죽 아니예요	0
예약 주문 하면 어떻게 담죠?	1
네, 간장 게장 있어요	0
언제 먹어야 하나요?	1
화요일이요	0
네	0
팔천 원이에요	0
이게 어느 정도 수준인가요? 이 동네에서?	1
지금은 VIP 룸 밖에 없어요	0
주문하실 음식 고르신 다음에 카드 꽂으셔서 결제하시면 됩니다	0
네 최대한 넓은 자리로 예약해 드리겠습니다	0
여섯분 하실려면 보통 세 근에서 세근 반 정도 사가세요	0
발급하면 바로 사용 가능한가요?	1
세일 품목은 저 위에 있는 거예요?	1
커피 위에 올라가는 거 하얀색이 휘핑크림, 우유 외에 다른 건 없나요?	1
뭐가 달라요?	1
그러면 청소년들은 몇 시까지 이용 가능한가요?	1
매주 화요일 쉽니다	0
재개발되면 아파트 짓나요?	1
더 저렴한 곳은 있나요?	1
여기 상호명이 뭐예요?	1
현재 15프로 세일 행사 진행 중이에요	0
더치라떼는요?	1
네 콘티600정 가격 팔만원 맞습니다	0
계약금 조금만 조정 가능할까요?	1
일요일은 안 해요	0
목살이라도 얇아야 하죠?	1
본사에 주문한 뒤 입고되면 연락드리겠습니다	0
매진됐습니다.	0
커플석은 구비되어 있나요?	1
다른 방으로 업그레이드 해주세요	1
그냥 기본 야채 김밥이에요	0
네 테이크 아웃 해드립니다	0
할부도 되나요?	1
꼬막무침이 오늘 잡은 꼬막으로 만든 거라 신선해요	0
테이크아웃잔 준비해드릴게요 	0
가져다드릴게요	0
네	0
요즘 인기 있는 가방 아닌 걸로 볼 수 있을까요?	1
수원 근교 땅입니다	0
대표 메뉴는 순두부찌개이고 이게 제일 잘나가긴 해요	0
한 달에 얼마 정도 하나요?	1
예, 그 티는 한 칼라예요	0
백설기입니다	0
수능대비반은 교재가 몇 권 정도 됩니까?	1
그거 10000원요.	0
일요일은 영업 해요?	1
코트 수선 맡겨 놓으면 얼마나 오래 걸려요?	1
제가 숯불도 예약했었죠?	1
추가요금은 얼마인가요?	1
반찬은 뭐 뭐예요?	1
그럼 매콤 돈가스랑 우동 같은 경우에는 세트 가격이 얼마예요?	1
28일에는 2인실과 4인실 모두 예약 가능하세요	0
한번 신어봐도 될까요?	1
남자애들 입을 만한 잠바 스타일이나 이런 코트 스타일	1
네 사이즈는 하나입니다	0
여기 한 시간에 얼마에요?	1
입주하기 전에 장판 수리 해주시나요?	1
네 국산 써요	0
2만 3천 원이요	0
네 가능하십니다	0
잡지는 세 종류밖에 없는 거죠?	1
혹시 와이파이 비번 있어요	1
네, 조금 드셔보세요	0
물론입니다	0
네	0
여기 몇 시까지 영업하나요?	1
중복으로 쿠폰 사용 가능한가요?	1
약이 아니라 기능식품인 거죠?	1
5천 원씩 팔아요	0
매매 주택 나온 건 새로 지어야 되는 거네요?	1
이거는 오만 팔천 원 저것은 팔만 구천원이에요	0
상큼한 포도와 귤이 포함되어 있어요	0
일주일에 3일 수업하는 거에요?	1
네 가능하십니다	0
3만 6천 원요	0
네 카카오페이 결제도 가능합니다	0
가격은 얼마에요?	1
헤나 염색은 약 3만 5천 원입니다	0
네 빈 자리에 앉으시면 됩니다	0
체크인 좀 해주실래요?	1
네, 빵은 판매하지 않습니다	0
그래봤자 월세 10만 원 차이 납니다	0
사장님, 혹시 케이크 주문하면은 배달해줘요?	1
배달음식은 상관은 없으셔요	0
네 새 제품으로 꺼내 드릴게요	0
180평 지금 실 사용 면적이요	0
네	0
길 건너면 있어요	0
없어요 겨울거는 다 나가서 골고루 없어요	0
총 6천 원입니다	0
두피케어하는 샴푸인가요?	1
여기 스니커즈 여성용도 있어요?	1
네 관리실에서 확인 가능하세요	0
그냥 일반 인조가죽이에요	0
2주 맞아요?	1
네 그럼 그렇게 자리 주세요	1
탕수육은?	1
이십 프로 됩니다.	0
200 사이즈 구두도 판매하고 있나요?	1
면접 볼 때 입을 옷을 찾고 있어요	1
가격 적힌 거는 뭐예요?	1
지갑도 세일 안 하시죠 지금?	1
네, 오늘은 휴일이라 일찍 닫아요	0
아니요 없어요	0
한 번 들어봐 주시겠어요?	1
네 물론이죠	0
이건 이만 팔천 원?	1
새로 또 나요?	1
한 쪽만 사도 되나요??	1
여기 월세 40 이하인 곳이 꽤 있던데 보여 주실래요?	1
7만 3000원이요	0
수육 거리는 앞다릿살이 나아요, 목살이 나아요?	1
혹시, 현미로도 가능한가요?	1
휴대폰은 선생님들이 반입하시나요?	1
아니요	0
체크인은 3시부터라 좀 기다리셔야 할 거 같아요	0
네 일월화 쉽니다	0
이 향수는 무슨 향이죠?	1
제가 철에 대해서는 알레르기 반응이 있는데 해도 될까요?	1
구입하신 날로부터  2주 이내에 오시면 가능합니다	0
3만 원 이상 주문하시면 배달해드려요.	0
우리 애들 과일 좀 먹여야지	1
떡은 만들어 놓은거 없어요?	1
고객님 이 제품 사이즈 하나 더 큰 거 사시면 사은품으로 마스크팩 세트 드리고 있어요	0
전부 다 오천원이에요?	1
레귤러 사이즈는 4800원 라지 사이즈는 5300원입니다	0
어떤 떡이 잘 나가나요?	1
네 등록되어있는 주소로 1시간 안에 배달해 드리겠습니다	0
이제 스무살인데 레드 립 괜찮을까요?	1
저기 메트로 주변이랑 광장 주변으로는 매물이 거의 없죠?	1
미대 가고 하면 돈은 많이 들죠?	1
오전 11시까지 체크아웃하셔야 해요	0
그래서 육천삼백 원입니다	0
탈색을 안 하고는 원하시는 색이 나오지 않습니다	0
봉사료는 따로 지불해야하나요?	1
이벤트가 있다고 들었는데 맞나요?	1
네 브라질 원두는 저희 매장에서도 쓰는 원두입니다	0
그 옷은 오만 오천 원인데, 할인해서 사만원이에요	0
고기 그건 뭐예요?	1
크로스가 19000원, 세트는 33000원입니다 현금하시면 3만 원까지 드려요	0
생태가 아니고 동태인 거죠?	1
저거는 높은 거 싫어하는 분들이 신어요	0
네 이 동네는 가격이 저렴한 편이에요	0
네 고맙습니다	0
얼마에요?	1
가까운데 몇 개 있기는 해요	0
34평으로 월세 나오면 바로 연락드릴게요	0
1인 1잔이 필수인가요?	1
현금으로 결제하시면 10% 할인됩니다	0
네, 샤워코롱 많이 나가요	0
에어매트로 성장 촉진시키는 운동 많이 하고 금요일 격주로 에어 마우스 애들이 되게 좋아해요 또 점프 스타라는 줄넘기를 하고 있거든요	0
이거는 약간 붉은 빛나네	1
가능해요	0
옷 위에 하시는 거라 색깔이 빨리 변하거나 그런 거는 없어요	0
네, 상한 머리는 케어로 회복하기 어렵기 때문에 자르는 것을 추천드립니다	0
6시 이후로 들어오시면 돼요	0
트리트먼트 냄새 좋은데 살 수 있나요?	1
흡연실은 어디에요?	1
현재 싱글룸 이용 가능해요	0
백 그램에 사백오십 원 정도에요	0
어떤 파우더에요?	1
좋아하는 게 달라서 귀에 붙는 거 찰랑찰랑한 거 다 잘 나가요	0
염색약을 바르는 시간은 한 시간 반에서 두 시간 정도 소요됩니다	0
불고기버거는 어떤 부위 들어가요? 돼지고기?	1
거울은 어디에 있나요?	1
드라이 클리닝 하면 사이즈가 줄어들지는 않아요?	1
네 불러드리겠습니다	0
가방 좀 볼게요	1
이 옷에 어울릴만한 신발 추천해주세요	1
이쑤시개 하나 써도 되죠?	1
저건 얼마입니까?	1
사과 1개에 가격이 어떻게 되나요?	1
약 바르고 오돌토돌 나는게 알레르기 인거죠?	1
네 알겠습니다	0
이런 스타일이 저한테 어울릴까요?	1
네 아메리카노에 찬물 조금 넣어드렸습니다	0
여기 저녁 급식 해 주시나요?	1
화장실 여기 있어요	0
네	0
태국하고 필리핀은 안 하고 있어요	0
탈색 가격 좀 알려주시겠어요?	1
1시간에 얼만가요?	1
호두 식빵하고 감자 크로켓 있나요?	1
이 제품은 속에 기모 되어있나요?	1
탈모하고 모발관리하고 같이 해준다, 그죠?	1
24시간 영업합니다	0
네 알겠습니다	0
대략 300평 되는 크기입니다	0
네 같이 포장해 드릴게요	0
이불 건조는 다 해주시는 거죠?	1
소 곱창은 없어요	0
네, 외곽지는 많이 있습니다.	0
1만 2000원입니다	0
며칠 전까지 주문하면 될까요?	1
대실은 얼마인가요?	1
네, 여기 바꾸신 방 키 드릴게요	0
비타민 세 박스 사려고 하는데 택배로 보내 주실 수 있나요?	1
네 맵진 않아요	0
뒤쪽이 맘스터치 거라서 차 세우면 안 되세요 	0
바닐라 라떼랑 토피넛 라떼의 차이가 뭐예요?	1
아 네 오늘은 과테말라 커피입니다	0
머플러 큰 사이즈랑 캐시미어 코트 좀 변형없이 잘해 주실 수 있으신가 해서요	1
평상시에 바르실 거면 이 제품이 잘 나가요	0
거기 휴지하곤 있어요?	1
PC방 한 시간 요금은 얼마인가요?	1
파마머리 전용 헤어 에센스를 발라주시면 좋아요	0
가장 기본적인 블랙 밀크티구요 다른거 드시던 분들은 타이거 밀크 제품 많이 드세요	0
얼마 추가되죠?	1
완전하게 돌아오나요?	1
검은색 가방이 있나요?	1
네	0
화장실 안에 비누가 없는데 있나요?	1
네	0
가방을 꺼내다가 모니터를 건드려서 깨버렸네요	1
네, 테이크 아웃 잔에 담아 드릴게요	0
볼륨 매직 비용이 얼마예요?	1
네 가능합니다	0
네 주문해주세요	0
입어봐도 될까요?	1
안지랑 밑쪽에 있어요 앞에 #주소# 있고요	0
MSM은 하루 한 알 드시면 되고 6개월분에 12만원입니다	0
3500원이세요	0
택배비는 선불인거 맞죠?	1
좀 기다려도 괜찮습니다	1
아메리카노 원두는 어디 거죠?	1
테이크아웃해도 가격은 똑같습니다	0
얼마나 오래 놓고 먹을 수 있어요?	1
물은 직접 가져 먹어야 하나요?	1
방이 몇 층인가요?	1
이용 가능한 인원이 몇 명이에요?	1
전화하시면 돼요	0
그란데 사이즈 6600원입니다	0
목살 두 근, 카드 결제 도와드리겠습니다	0
집주인과 통화해 보겠습니다	0
이게 제일 많이 나가요	0
저렇게 큰 거만 빼고 나머지 보이시는 거 전부 다에요	0
음 내일은 힘들 거 같아요	0
머리 상하지 않게 밝게 염색하고 싶은데, 있나요?	1
이 사이즈보다 한 치수 큰 거 있나요?	1
옆에 있어요	0
마카롱과 머핀은 있어요	0
콜라랑 사이다랑 아이스티 있습니다	0
계산은 카드로도 가능한가요?	1
이론 수업을 듣는 시간이 따로 정해져 있나요?	1
왜 락스 사용하면 안돼요?	1
500만 원에 40만 원이에요	0
오른쪽 칸막이가 있는 부분을 빼고는 전부 비흡연석입니다	0
새치 염색 색상은 검은색 한가지인가요?	1
숯불에 구워야 하니까 기름이 적은 부위로 드릴게요	0
네.	0
회원가입을 해야지 이용이 가능한가요?	1
20000원 내시면 다 해드려요	0
네 없어요	0
이쪽에 나물 세트 따로 진열되어있어요	0
2개 해서 3000원 나왔습니다	0
단체석으로 예약할 수 있을까요?	1
조식은 없어요	0
좌측으로 가시면 되세요	0
네, 방 있어요	0
트리트먼트를 늘 발라야 되는 건가요?	1
이 옷 다른 색상은 없나요?	1
체육고등학교에 가면 대학 입시에 유리한가요?	1
주물럭 할 거는 한 근에 칠천 원 정도에요	0
이 옷은 얼마예요?	1
현금이나 카드 똑같이 7000원이에요?	1
이게 한 치수 큰 거예요	0
네	0
네, 해당 날짜에 디럭스 룸이 2개가 비어 있는 데 옵션이 자쿠지와 시어터가 있어요	0
알약이에요?	1
토요일 스탠더드룸 하나 숙박 예약 해주실래요?	1
수량이 같으면 가격도 같아요?	1
내일은 해요?	1
갈비살이에요	0
네, 양철 상자로 2개 드릴게요	0
오늘은 인당 92000원에 나가요	0
나가서 왼쪽입니다	0
네 이 제품은 철 성분이 전혀 없기 때문에 괜찮습니다	0
사과가 배보다 조금 더 비싸요.	0
수선 다 되면 제 아내한테 연락 주시겠어요?	1
토일은 쉬어요	0
이 사이즈는 손님께 맞아요	0
요즘 상가  시세가 어떤가요?	1
임대인이랑 바로 계약 가능해요?	1
매장에서 식사할 수 있나요?	1
브로치 같은 건 어디 있나요?	1
오전 9시 오픈이고 4시부터 5시까지 브레이크타임이니까 3시 반 전에 오셔야 해요	0
대구에서 가려고 하면 몇 시간 정도 걸리나요?	1
가래떡 더 얇은 거로는 없나요?	1
톤다운 시키는게 좋으신데 전체적으로 한번 하시는게 괜찮을 것 같네요	0
다른 색상은 없어요?	1
앞다리살 주물럭 양념 한 상태에서도 잘라주실 수 있어요?	1
현금이나 카드나 가격은?	1
아홉 시요	0
필요한 게 있으시면 언제든지 안내데스크로 전화 주세요	0
롤케이크 가격은요?	1
네, 취사도구 다 구비되어 있어요	0
역세권으로 중간층 남향으로 매물 좀 보여주세요	1
이거는 가격이 얼마예요?	1
네 들어가요	0
휴무날은 없어요?	1
네	0
무료로 주시는 음료는 몇 개 까지 받을 수 있나요?	1
네 그 두 제품으로 드릴게요	0
냉면 육수는 어떻게 만드는 지 알려주실 수 있어요?	1
네	0
보통 냉장고로는 길면 일주일 정도에요	0
파마하는데 시간은 얼마나 걸려요?	1
주차장은 따로 없고 타워 맞은편 주차 라인이나 상가 앞에 세우셔야 해요	0
시금치는 조금만 살 수 없나요?	1
매장 영업 몇 시까지 하나요?	1
네 그렇게 하세요	0
이 떡집은 약밥이 없어요	0
네 아직 매매되지 않았습니다	0
안 잘린 것도 있나요?	1
현금하면 몇 프로 정도 할인해줘요?	1
초코 시럽 뿌려주실 수 있나요?	1
유동인구가 많은 곳이면 좋겠어요	1
아메리카노와 카페모카입니다	0
저희 가게에서는 투샷이 들어가고 있어요	0
네 프린트할 거 정해지시면 누르지 말고 저 불러주세요	0
이 동네랑 영대에만 없어요	0
네 아이스티는 사천 원입니다	0
네 지금은 없어요	0
#주소#나 #주소# 쪽으로는 없어요?	1
공휴일에도 영업하시나요?	1
네 전화번호 눌러주세요	0
무인 기계가 어디 있나요?	1
오늘 숙박 가능한가요?	1
이 신발 220 사이즈로 주세요	1
네 장이요	0
이 계란말이 오늘 요리된 제품인가요?	1
이건 소재가 뭐예요?	1
토요일은요?	1
아뇨 아이스는 톨 사이즈부터 가능하세요	0
4명이면 C 코스로 많이 드십니다	0
네, 같이 적립해 드리겠습니다.	0
네 가능합니다	0
큰 옷 3벌 정도 맡겼는데 얼마나 걸릴까요?	1
지금 애들은 다 나건거에요?	1
여기서 할 수 있는 염색 종류 좀 보여주시겠어요?	1
초코칩 스콘 있나요? 	1
마네킹이 입고 있는 옷은 어디 있나요?	1
남자 화장품 기초 화장품 있어요?	1
흑백은 장당 300원에요	0
가방 들고 오면 수선 가능한 지 알수있나요?	1
17만 원까지 해드릴게요	0
망고는 시원해서 젊은 사람들이 선호합니다	0
이건 무슨 빵이에요?	1
네 가능합니다	0
방은 내 해드릴게요	0
네, 더치 커피 있어요	0
네 고객님	0
요금은 한 시간에 1000원입니다	0
네, 결제해 드리겠습니다.	0
그건 없어요	0
네, 나이 드신 분들도 새치 커버라서 많이 쓰세요	0
태권도를 지금 하고 계시나요?	1
네 카카오페이 결제 됩니다	0
한 번에 한 시간 정도 하나요?	1
한 시간으로 해요?	1
가게 앞에 주차를 해도 되나요?	1
수업은 바이엘 체르니 진행되고 한 번씩 특강으로 리코더와 오카리나 수업 해요	0
노트북을 넣을 수 있는 서류 가방 있나요?	1
사이트 예약하려고 하는데,어떻게 하나요?	1
주차공간은 따로 없습니다	0
네 같이 넣고 끓이면 좋아요 	0
그럼 혹시 한 시간에 요금은 얼마 정도예요?	1
일반의약품을 드셔보시고 호르몬 균형이 맞춰지면 굳이 호르몬제를 드실 필요는 없습니다	0
귤 삼천 원짜리도 있어요?	1
가죽옷 수선돼요?	1
이만 사천 원이요	0
아니요 김치만 나가고 있습니다	0
가게 앞은 주차하시면 안 됩니다	0
명태 볶음 이거 엄청 맛있네요 직접 하신 거죠?	1
먹으면 뼈에 괜찮겠죠?	1
어떤 옷인지에 따라 금액이 달라집니다	0
오이는 어때요?	1
치즈크러스트는 판당 삼천 원 추가입니다	0
동생하고 같이 오면 할인이 되나요?	1
이 제품은 삼만 원이에요	0
남성 전용이면 여자는 커트 안돼요?	1
어떻게 하는 거죠?	1
네. 배달돼요.	0
요즘에는 골드랑 실버 중 어떤 게 더 잘 나가나요?	1
네, 앞쪽은 삼십 년 차 됐어요	0
카드랑 현금 가격이 다른가요?	1
우리나라에서 만든 거예요?	1
이 옷은 되게 커 보이는데?	1
아니요 라임 검정 화이트 있어요	0
와이파이는 혹시 다 되어있어요?	1
77로 한 번 입어볼게요	1
당구장 안에서는 흡연이 안되고 따로 흡연실이 마련되어 있습니다	0
네 꼭 오세요	0
한 번을 해도 괜찮아 지나요?	1
이거는 어디 거예요?	1
이 옷 현금으로 사면 할인 좀 해주시나요?	1
인증샷 찍어서 카페에 올리기만 하면 10% 할인해준단 말이죠?	1
샌드위치 구매하시면 아메리카노 무료로 제공됩니다	0
11시까지 정리 후 연락 주시면 돼요	0
드라이 해줘야죠	0
정장 수선비가 삼만 원보다 비싸나요?	1
10분당 얼마씩인가요?	1
떡 케이크는 안합니다	0
신상으로 나온거 있어요?	1
네	0
여기로 앉으세요	0
네. 마감시간이라 싸게 해 드릴께요.	0
이제 대학교 입학하는 앤데 어떤 거 선물하면 돼요?	1
많이 기다려야 하나요?	1
네, 있어요	0
제가 이렇게 상한 모발도 회복이 가능하다, 그죠?	1
참외랑 같이 사시면 조금 깎아드릴게요.	0
적립 이런 건 없어요?	1
이건 괜찮아요. 물이 많고 시원해요.	0
지금 딸기가 다 떨어져서 딸기 스무디가 안 될 것 같습니다	0
지금 현금이 없는데 혹시 현금가인가요?	1
등갈비는 감자탕 하기는 별로죠?	1
커피콘은 밀가루에 커피를 넣은 건가요?	1
아파트 열 평 매매가는요?	1
배는 어느 산이에요?	1
권리금이 기본 얼마에요?	1
매매하는 건 언제가 좋아요?	1
아오리 사과가 당도가 더 높게 나왔어요.	0
이 상품은 2만 원입니다	0
국은 뭐 있어요?	1
네 저희 꺼 엄청 매워요	0
네	0
5억정도로 매매 할 수 있는 아파트 매물 있나요?	1
네	0
제로 페이로 약 결제 되나요?	1
102동에 58평하고 47평이 있는데 구조가 비슷합니다	0
잠시만 기다려 주세요	0
바비큐 다 하고 치우는 건 어떻게 하나요?	1
네	0
이런 거 있고, 주름 미백이 들어간 제품들이 있는데 보습력이 좀 있어요	0
가격은 태그에 적혀 있어요	0
녹십자에서 나오는 제품인데 하루 한 알 내지 두 알 드시면 됩니다	0
문의 좀 하려고 하는데 학원 수강하는 거 때문에	1
유자에이드는 뭐예요?	1
지하와 지상에 주차장이 있어서 주차 공간은 여유로와요	0
콜라는 세트메뉴를 시키셨을 때만 무료로 제공됩니다	0
네, 두피 제품으로도 따로 판매하고 있습니다	0
빵을 여기서 만드시는 건 아니시죠?	1
왼쪽 두 번째로 가세요	0
네 30이에요	0
머랭 쿠키는 3000원이에요	0
네 안내해드릴게요	0
그런 곳은 넘기시고 신축 아닌 것은 오백만 원에서 천 만원 보증금 하시면 월세는 사십만 원대 생각하시면 돼요	0
배달 앱 사용하시나요?	1
로아규탄은 효과는 좋은데 비싸서 그런데 좀 가격 낮은 약 있나요?	1
이 가방은 어떠세요	0
줄넘기도 하나요?	1
룸서비스는 이용이 가능하시고, 객실 가시면 이용하실 수 있는 메뉴판이 있어요	0
너무 화려한 것 같은데 무난한 거 있나요?	1
네 결제해드리겠습니다	0
네, 디자인이도 소재도 달라요	0
요런 거는?	1
기존에 있던거 서른두 평은 얼마쯤에 나갔어요?	1
네 종아리까지 와요	0
네 목 좋은데 어디 없나요?	1
포인트도 적립되나요?	1
네, 향수는 오늘 딱 하루만 하는 거예요	0
네 새 상품으로 드릴게요	0
저희 청소 다 깨끗하게 해요	0
신주머니 포함된 가격인가요?	1
이게 더 나을 거 같네요	0
친구들이랑 놀다가 롱패딩에 구멍났는데 구멍난 부분에 티 안나게 수선 할 방법이 있을까요?	1
네	0
혹시 자리 예약 가능한가요?	1
난방이 여기는 안 되네요?	1
화장실은 어디 있어요?	1
중개 보수는 할인이 안 되나요?	1
그런 쪽은 생활체육 고등학교로 가는 거죠	0
1000원입니다	0
26입니다	0
안심 200g 정도 하시면 될 거 같아요	0
이거 안에 들어 있는거는 뭐에요?	1
프린트하시는 분은 기본적으로 15분 무료고 추후에 요금은 시간당 1000원 이에요	0
전화번호 하나만 주세요	1
관장님은 몇 단인가요?	1
커플석은 따로 없습니다	0
12000원이에요	0
네 알겠습니다.	0
포장 다 되면 진동벨로 알려드리겠습니다	0
티셔츠 색상은 하나뿐인가요?	1
이천 원이요	0
이 쌈지도 여자 거죠?	1
도다리 자연산은 아니지요?	1
기프티콘도 세트메뉴에 사용 가능한가요?	1
적립되는 건 없어요?	1
저희 부동산에 매물 올려놓도록 하겠습니다.	0
왜 할인 안 해요?	1
고기는 별도로 준비하셔야 해요	0
티 얼마예요?	1
문은 여덟 시 반에 열어요	0
네 그럼요	0
근처에 편의점이 있을까요?	1
얼마쯤 해요?	1
스무디는 얼음 넣어서 갈은 거죠?	1
네 계속 복용해야합니다	0
네 11500원입니다	0
등뼈는 얼마씩해요?	1
이런 상품은 세일 안해요?	1
6살 친구들 같은 경우에는 3일에서 1주일 정도 체험학습 해보고 가능하다 싶으면 그때 등록을 시킵니다	0
세트 메뉴 시킬 때 콜라 사이즈-업 되나요?	1
둘 다 상승 중이에요	0
케이스는 플라스틱이에요	0
예예 몇 시부터 몇 시까지 하시는데요?	1
수선 가능 여부는 옷을 가져오셔야 말씀드릴 수 있습니다	0
배달도 해요	0
인사돌 100알짜리는 얼마에요?	1
종이컵이 있을까요?	1
할인은 안 되고 요 가격에?	1
실력은 어느 정도 되어야 하는 거예요?	1
작은 팩 5000원 큰 팩 8000원이요	0
여기 남자옷 파는 곳입니다	0
요즘 환경정책때문에 머그잔으로 드리도록 하겠습니다.	0
경희대하고 용인대 말고는 또 없나요?	1
어떤 화장품이 잘 나가나요?	1
본점이 따로 있어요? 체인점이죠?	1
저녁 8시까지 영업합니다	0
스킨로션 겸용이 남자 건 있는데 여자 거는 겸용으로 나오는 건 없어요	0
딸기 많이 들어가고, 직접 만든 딸기잼도 들어갑니다	0
스무디는 차가운 거죠?	1
설치되어 있는데 비밀번호가 걸려 있어요	0
마네킹 옆에 있는 신발 볼 수 있을까요?	1
그 가방은 공용이에요	0
